outcome,previous_outcome,day,time,month,wind_speed,weather,location,capacity,stadium_state,injury,match_type,opponent_strength
loss,loss,saturday,afternoon,june,low,cloudy,home,medium,dry,no,competitive,average
win,win,wednesday,evening,november,no_wind,cloudy,away,medium,dry,no,friendly,average
tie,tie,monday,evening,february,no_wind,snowy,away,large,wet,yes,friendly,strong
loss,tie,sunday,evening,october,no_wind,cloudy,home,medium,dry,yes,competitive,strong
win,win,friday,evening,july,high,sunny,away,elite,dry,no,competitive,weak
loss,win,friday,evening,december,high,snowy,home,medium,dry,yes,friendly,weak
win,loss,saturday,morning,november,low,cloudy,away,elite,dry,yes,competitive,average
tie,win,friday,evening,march,low,sunny,away,large,dry,yes,competitive,weak
win,tie,monday,evening,november,high,sunny,away,large,dry,yes,competitive,average
win,win,tuesday,evening,august,low,sunny,away,small,dry,no,friendly,weak
win,win,tuesday,evening,june,no_wind,sunny,away,large,wet,no,friendly,weak
tie,loss,friday,evening,december,high,sunny,away,elite,dry,yes,competitive,average
loss,tie,wednesday,evening,january,low,cloudy,home,medium,dry,yes,competitive,average
win,tie,friday,evening,february,low,sunny,home,medium,dry,no,friendly,average
win,win,saturday,afternoon,july,no_wind,sunny,home,medium,dry,yes,friendly,weak
tie,loss,sunday,evening,january,high,cloudy,away,small,dry,yes,competitive,strong
win,win,wednesday,evening,may,no_wind,sunny,home,medium,dry,yes,competitive,weak
tie,win,wednesday,evening,january,high,sunny,home,medium,dry,yes,friendly,weak
tie,tie,saturday,afternoon,october,low,cloudy,home,medium,dry,no,friendly,average
tie,win,saturday,afternoon,january,high,sunny,home,medium,dry,no,friendly,average
tie,loss,sunday,morning,march,low,sunny,away,small,dry,yes,friendly,average
tie,tie,monday,evening,january,high,sunny,away,large,dry,no,friendly,strong
tie,win,thursday,evening,june,high,sunny,away,medium,dry,yes,competitive,strong
tie,win,thursday,evening,december,no_wind,sunny,home,medium,dry,no,friendly,average
win,loss,tuesday,evening,december,low,sunny,home,medium,dry,no,friendly,average
tie,tie,sunday,afternoon,january,low,cloudy,home,medium,dry,yes,competitive,strong
tie,tie,sunday,afternoon,april,low,cloudy,away,elite,dry,yes,friendly,strong
tie,loss,saturday,afternoon,december,low,sunny,home,medium,dry,yes,competitive,average
tie,tie,wednesday,evening,september,no_wind,sunny,home,medium,dry,yes,competitive,strong
win,win,sunday,morning,july,high,sunny,away,medium,dry,no,competitive,average
tie,tie,thursday,evening,july,no_wind,cloudy,away,elite,dry,yes,competitive,average
win,win,tuesday,evening,april,no_wind,sunny,home,medium,dry,no,friendly,weak
loss,tie,wednesday,evening,june,low,sunny,away,elite,dry,no,competitive,average
win,tie,monday,evening,june,low,rainy,home,medium,dry,yes,competitive,average
win,win,tuesday,evening,july,low,cloudy,home,medium,dry,yes,friendly,weak
win,win,tuesday,evening,january,high,cloudy,away,medium,dry,no,competitive,average
tie,tie,thursday,evening,september,high,sunny,away,elite,wet,yes,competitive,strong
win,loss,monday,evening,december,low,sunny,away,small,dry,yes,friendly,weak
tie,win,saturday,afternoon,december,high,cloudy,away,elite,dry,yes,competitive,strong
tie,tie,monday,evening,february,no_wind,snowy,home,medium,dry,no,friendly,strong
win,win,tuesday,evening,january,no_wind,sunny,home,medium,dry,no,competitive,average
tie,tie,tuesday,evening,february,no_wind,sunny,away,medium,dry,no,friendly,strong
tie,win,monday,evening,february,low,sunny,away,large,dry,no,competitive,average
tie,loss,saturday,afternoon,august,no_wind,sunny,away,small,dry,yes,friendly,average
tie,tie,sunday,afternoon,january,high,sunny,home,medium,dry,no,friendly,strong
loss,win,friday,evening,april,no_wind,cloudy,away,small,dry,yes,friendly,average
win,win,wednesday,evening,june,low,rainy,home,medium,dry,no,friendly,weak
tie,tie,wednesday,evening,december,high,rainy,away,medium,wet,no,competitive,strong
tie,tie,monday,evening,november,low,cloudy,away,elite,dry,no,competitive,average
tie,tie,monday,evening,march,no_wind,cloudy,home,medium,dry,yes,competitive,strong
tie,win,sunday,afternoon,september,no_wind,sunny,home,medium,dry,no,competitive,strong
win,tie,wednesday,evening,january,high,snowy,home,medium,dry,no,competitive,weak
tie,loss,saturday,morning,may,high,cloudy,away,medium,dry,no,competitive,average
tie,tie,sunday,afternoon,may,no_wind,rainy,away,small,wet,yes,competitive,average
tie,win,friday,evening,may,high,sunny,away,small,dry,no,friendly,strong
tie,win,friday,evening,april,high,rainy,home,medium,dry,no,friendly,weak
win,win,wednesday,evening,june,low,sunny,away,medium,wet,no,competitive,average
win,win,thursday,evening,january,no_wind,rainy,home,medium,dry,no,competitive,weak
tie,win,friday,evening,april,high,sunny,home,medium,dry,yes,competitive,average
tie,tie,sunday,afternoon,september,no_wind,sunny,home,medium,dry,no,competitive,strong
tie,win,monday,evening,october,high,sunny,home,medium,dry,no,friendly,strong
win,win,friday,evening,june,no_wind,rainy,away,medium,wet,no,friendly,average
tie,tie,wednesday,evening,july,no_wind,sunny,away,small,dry,yes,friendly,average
tie,tie,friday,evening,november,no_wind,sunny,away,large,dry,no,competitive,strong
tie,tie,monday,evening,november,no_wind,cloudy,away,large,wet,yes,friendly,average
win,win,sunday,afternoon,july,high,rainy,home,medium,dry,no,competitive,weak
win,win,wednesday,evening,january,high,sunny,home,medium,dry,yes,competitive,weak
win,tie,sunday,afternoon,august,high,rainy,home,medium,dry,no,friendly,average
tie,tie,friday,evening,september,high,cloudy,home,medium,dry,yes,friendly,strong
loss,loss,sunday,afternoon,november,high,sunny,home,medium,dry,no,friendly,average
tie,loss,tuesday,evening,february,no_wind,sunny,home,medium,dry,no,competitive,strong
win,win,thursday,evening,may,no_wind,cloudy,away,elite,dry,no,friendly,weak
tie,tie,wednesday,evening,january,high,snowy,home,medium,dry,no,friendly,average
win,win,sunday,afternoon,july,no_wind,cloudy,home,medium,dry,no,competitive,average
win,win,thursday,evening,september,no_wind,rainy,away,large,wet,no,competitive,weak
tie,tie,saturday,afternoon,june,high,rainy,home,medium,dry,no,friendly,strong
tie,win,monday,evening,september,no_wind,cloudy,home,medium,dry,yes,competitive,average
tie,tie,saturday,afternoon,march,high,sunny,away,elite,dry,no,competitive,strong
tie,win,monday,evening,august,no_wind,sunny,away,small,dry,no,friendly,strong
win,win,sunday,afternoon,january,low,cloudy,home,medium,dry,no,friendly,weak
win,win,monday,evening,june,no_wind,sunny,home,medium,dry,no,friendly,weak
win,loss,tuesday,evening,october,low,rainy,home,medium,dry,no,competitive,average
win,loss,thursday,evening,october,high,cloudy,home,medium,dry,yes,friendly,average
win,win,saturday,evening,april,high,cloudy,home,medium,dry,no,competitive,weak
win,win,friday,evening,june,high,sunny,home,medium,dry,yes,friendly,average
loss,loss,friday,evening,june,high,cloudy,home,medium,dry,yes,competitive,strong
tie,tie,thursday,evening,october,low,cloudy,home,medium,dry,no,competitive,strong
win,win,monday,evening,august,no_wind,sunny,home,medium,dry,no,competitive,weak
tie,loss,sunday,afternoon,september,low,cloudy,home,medium,dry,yes,friendly,weak
tie,tie,wednesday,evening,november,low,rainy,home,medium,dry,yes,friendly,average
tie,win,friday,evening,february,no_wind,cloudy,home,medium,dry,yes,friendly,average
tie,tie,tuesday,evening,march,no_wind,cloudy,home,medium,dry,no,friendly,strong
tie,win,friday,evening,may,low,rainy,home,medium,dry,no,competitive,average
tie,tie,saturday,afternoon,march,no_wind,sunny,away,medium,dry,yes,friendly,average
win,win,monday,evening,july,no_wind,sunny,home,medium,dry,no,competitive,weak
tie,tie,wednesday,evening,may,no_wind,cloudy,home,medium,dry,yes,competitive,strong
tie,win,tuesday,evening,july,low,sunny,away,large,dry,no,friendly,average
win,win,monday,evening,november,no_wind,snowy,away,medium,wet,no,competitive,weak
win,win,thursday,evening,august,no_wind,rainy,home,medium,dry,no,friendly,weak
tie,tie,wednesday,evening,december,no_wind,cloudy,home,medium,dry,yes,competitive,strong
tie,tie,friday,evening,april,no_wind,rainy,away,medium,wet,no,friendly,average
tie,tie,wednesday,evening,august,high,sunny,away,large,dry,no,competitive,strong
win,win,monday,evening,august,no_wind,sunny,away,elite,dry,yes,friendly,average
loss,win,wednesday,evening,june,high,sunny,away,large,dry,yes,friendly,average
win,win,wednesday,evening,june,high,cloudy,home,medium,dry,no,competitive,weak
win,tie,saturday,evening,may,high,rainy,home,medium,dry,no,competitive,average
win,tie,sunday,evening,february,high,sunny,home,medium,dry,no,friendly,average
tie,tie,thursday,evening,february,no_wind,sunny,away,medium,dry,yes,friendly,strong
tie,tie,monday,evening,july,high,rainy,home,medium,dry,yes,friendly,strong
tie,tie,saturday,afternoon,april,no_wind,rainy,home,medium,dry,no,friendly,strong
tie,tie,tuesday,evening,july,low,cloudy,away,elite,dry,yes,friendly,strong
tie,tie,thursday,evening,february,high,snowy,away,medium,wet,no,friendly,strong
win,tie,saturday,afternoon,march,high,cloudy,home,medium,dry,no,friendly,weak
win,loss,friday,evening,november,low,sunny,home,medium,dry,yes,friendly,average
tie,tie,wednesday,evening,october,high,sunny,home,medium,dry,yes,friendly,average
win,win,monday,evening,december,low,cloudy,away,medium,wet,yes,friendly,weak
loss,loss,monday,evening,july,high,rainy,home,medium,dry,no,friendly,average
tie,tie,friday,evening,february,high,sunny,home,medium,dry,yes,friendly,strong
tie,tie,wednesday,evening,august,low,rainy,away,small,wet,no,friendly,average
win,tie,wednesday,evening,june,no_wind,rainy,away,medium,wet,yes,friendly,average
tie,tie,thursday,evening,january,low,cloudy,home,medium,dry,no,competitive,strong
win,win,tuesday,evening,december,low,sunny,home,medium,dry,no,competitive,weak
loss,loss,wednesday,evening,january,high,snowy,home,medium,dry,yes,competitive,weak
tie,loss,sunday,evening,october,high,cloudy,away,small,dry,yes,friendly,strong
win,tie,saturday,afternoon,february,no_wind,sunny,home,medium,dry,no,competitive,average
tie,win,friday,evening,january,high,rainy,away,elite,wet,yes,competitive,weak
tie,tie,monday,evening,august,no_wind,rainy,home,medium,dry,no,competitive,average
win,win,sunday,morning,may,low,sunny,away,medium,dry,no,competitive,weak
win,tie,tuesday,evening,june,no_wind,rainy,home,medium,dry,no,competitive,weak
loss,win,thursday,evening,june,no_wind,sunny,away,elite,dry,no,friendly,average
tie,tie,thursday,evening,april,no_wind,cloudy,away,medium,dry,yes,friendly,strong
tie,tie,saturday,morning,june,low,rainy,home,medium,dry,yes,friendly,strong
tie,win,friday,evening,june,no_wind,cloudy,home,medium,dry,no,friendly,weak
loss,loss,saturday,afternoon,december,low,sunny,home,medium,dry,yes,competitive,average
tie,tie,saturday,afternoon,november,no_wind,sunny,away,elite,dry,no,competitive,strong
win,win,friday,evening,july,high,cloudy,away,large,dry,no,friendly,average
win,win,sunday,evening,march,low,cloudy,away,large,dry,yes,competitive,weak
win,loss,sunday,afternoon,february,low,cloudy,home,medium,dry,no,friendly,weak
tie,tie,monday,evening,december,no_wind,snowy,away,medium,wet,yes,friendly,strong
tie,loss,saturday,evening,september,high,rainy,away,small,wet,yes,competitive,average
win,win,tuesday,evening,november,low,snowy,home,medium,dry,yes,competitive,weak
win,loss,thursday,evening,july,low,rainy,home,medium,dry,yes,competitive,average
tie,loss,sunday,afternoon,december,no_wind,snowy,away,small,wet,yes,competitive,weak
loss,win,thursday,evening,february,low,snowy,home,medium,dry,no,friendly,average
tie,tie,monday,evening,march,low,sunny,home,medium,dry,yes,competitive,strong
tie,win,tuesday,evening,july,no_wind,rainy,away,elite,wet,yes,competitive,weak
win,win,friday,evening,december,low,cloudy,away,small,dry,yes,competitive,weak
tie,win,saturday,evening,july,no_wind,cloudy,away,elite,wet,no,competitive,weak
win,loss,monday,evening,april,no_wind,sunny,away,elite,dry,yes,competitive,average
tie,win,wednesday,evening,november,high,sunny,home,medium,dry,yes,competitive,average
tie,tie,sunday,afternoon,august,low,sunny,away,small,dry,no,friendly,strong
win,win,thursday,evening,december,low,cloudy,home,medium,dry,yes,friendly,weak
win,tie,tuesday,evening,april,high,rainy,home,medium,dry,yes,competitive,weak
win,tie,monday,evening,december,no_wind,cloudy,away,large,dry,no,competitive,average
tie,tie,wednesday,evening,november,high,cloudy,away,medium,wet,no,competitive,strong
tie,tie,monday,evening,august,high,rainy,home,medium,dry,no,friendly,strong
win,tie,tuesday,evening,february,high,cloudy,home,medium,dry,no,friendly,average
win,tie,wednesday,evening,march,high,sunny,home,medium,dry,yes,competitive,average
win,win,wednesday,evening,may,no_wind,sunny,home,medium,dry,yes,competitive,weak
tie,loss,monday,evening,february,no_wind,sunny,away,small,wet,no,competitive,average
win,win,monday,evening,april,no_wind,cloudy,home,medium,dry,yes,competitive,weak
tie,tie,sunday,morning,may,high,sunny,away,small,dry,yes,friendly,strong
win,tie,thursday,evening,december,no_wind,sunny,home,medium,dry,yes,competitive,average
tie,win,friday,evening,july,low,rainy,home,medium,dry,yes,competitive,average
loss,win,wednesday,evening,december,high,cloudy,away,elite,dry,no,friendly,weak
tie,loss,monday,evening,november,low,sunny,away,large,dry,yes,competitive,average
tie,win,sunday,afternoon,december,no_wind,cloudy,home,medium,dry,no,competitive,strong
win,loss,tuesday,evening,march,high,sunny,home,medium,dry,yes,competitive,average
tie,tie,sunday,morning,may,high,rainy,away,large,wet,yes,competitive,strong
loss,win,wednesday,evening,august,low,cloudy,home,medium,dry,no,friendly,average
tie,tie,thursday,evening,december,high,snowy,home,medium,dry,yes,competitive,strong
tie,tie,friday,evening,may,low,cloudy,away,elite,dry,no,friendly,strong
win,win,wednesday,evening,june,high,cloudy,away,medium,dry,yes,friendly,weak
tie,tie,sunday,evening,may,low,sunny,home,medium,dry,yes,competitive,strong
tie,loss,saturday,evening,september,no_wind,sunny,away,medium,dry,no,friendly,average
tie,win,friday,evening,march,low,sunny,away,small,dry,yes,competitive,weak
tie,tie,monday,evening,march,low,cloudy,home,medium,dry,yes,friendly,strong
win,loss,tuesday,evening,july,no_wind,rainy,away,large,wet,no,competitive,average
win,win,thursday,evening,april,high,cloudy,away,medium,dry,yes,friendly,weak
win,win,wednesday,evening,december,no_wind,sunny,away,small,dry,no,friendly,weak
tie,tie,sunday,evening,november,no_wind,sunny,home,medium,dry,yes,friendly,strong
win,win,saturday,afternoon,march,no_wind,sunny,away,medium,dry,no,friendly,average
win,win,friday,evening,july,low,rainy,away,elite,wet,yes,competitive,weak
tie,win,thursday,evening,december,no_wind,rainy,home,medium,dry,yes,friendly,strong
tie,tie,monday,evening,may,low,sunny,away,medium,dry,no,friendly,strong
win,tie,sunday,afternoon,october,low,sunny,home,medium,dry,no,friendly,weak
tie,tie,friday,evening,october,high,sunny,away,large,dry,yes,friendly,strong
win,tie,thursday,evening,october,high,sunny,home,medium,dry,yes,friendly,weak
win,win,tuesday,evening,february,low,cloudy,home,medium,dry,yes,friendly,weak
tie,tie,saturday,evening,december,high,snowy,home,medium,dry,no,friendly,strong
win,loss,monday,evening,june,high,sunny,home,medium,dry,no,friendly,weak
tie,tie,tuesday,evening,november,no_wind,cloudy,away,medium,dry,yes,friendly,strong
loss,tie,sunday,afternoon,october,high,cloudy,away,large,dry,yes,friendly,average
win,win,wednesday,evening,november,high,sunny,home,medium,dry,yes,competitive,weak
tie,tie,thursday,evening,january,high,cloudy,away,medium,dry,no,friendly,average
loss,win,wednesday,evening,april,no_wind,cloudy,home,medium,dry,yes,friendly,weak
loss,win,tuesday,evening,june,no_wind,cloudy,away,medium,dry,yes,competitive,average
win,tie,wednesday,evening,november,high,snowy,away,large,wet,no,competitive,average
tie,win,saturday,morning,september,high,sunny,away,small,dry,no,friendly,average
win,win,wednesday,evening,june,no_wind,rainy,home,medium,dry,no,friendly,weak
win,tie,sunday,afternoon,june,no_wind,sunny,away,large,dry,yes,competitive,average
win,win,friday,evening,december,no_wind,rainy,away,elite,wet,yes,competitive,weak
tie,loss,thursday,evening,april,no_wind,cloudy,away,elite,dry,yes,friendly,average
tie,tie,monday,evening,january,low,cloudy,home,medium,dry,yes,competitive,strong
tie,tie,wednesday,evening,january,high,cloudy,away,elite,dry,yes,friendly,strong
win,win,thursday,evening,november,high,sunny,home,medium,dry,no,friendly,weak
win,win,thursday,evening,october,low,cloudy,home,medium,dry,yes,friendly,weak
tie,loss,friday,evening,february,no_wind,cloudy,away,medium,dry,yes,competitive,average
win,win,monday,evening,november,high,rainy,away,elite,wet,yes,competitive,weak
tie,tie,sunday,afternoon,march,low,sunny,away,large,dry,yes,friendly,strong
tie,tie,saturday,morning,february,low,rainy,away,medium,wet,no,competitive,strong
tie,loss,monday,evening,january,high,snowy,home,medium,dry,no,competitive,average
win,win,saturday,evening,february,low,sunny,home,medium,dry,yes,friendly,weak
win,loss,friday,evening,august,no_wind,cloudy,home,medium,dry,no,friendly,strong
win,win,monday,evening,march,no_wind,cloudy,away,small,dry,no,friendly,weak
tie,tie,sunday,afternoon,may,no_wind,sunny,home,medium,dry,yes,competitive,strong
loss,loss,wednesday,evening,october,high,sunny,away,large,dry,no,competitive,average
win,win,tuesday,evening,december,no_wind,cloudy,home,medium,dry,yes,competitive,weak
loss,loss,saturday,afternoon,august,high,rainy,home,medium,dry,no,friendly,average
tie,loss,saturday,evening,september,high,sunny,home,medium,dry,no,friendly,average
tie,tie,monday,evening,april,low,cloudy,home,medium,dry,yes,competitive,strong
tie,tie,friday,evening,july,low,sunny,away,elite,wet,no,competitive,strong
win,win,thursday,evening,february,low,sunny,home,medium,dry,no,friendly,weak
win,tie,wednesday,evening,may,high,sunny,home,medium,dry,yes,friendly,average
win,win,sunday,morning,june,no_wind,rainy,away,large,wet,yes,competitive,weak
tie,loss,friday,evening,october,no_wind,sunny,away,large,dry,no,friendly,strong
tie,win,friday,evening,july,low,cloudy,away,medium,dry,no,competitive,strong
win,tie,sunday,afternoon,january,no_wind,sunny,away,medium,dry,no,competitive,strong
win,tie,tuesday,evening,october,low,sunny,away,small,dry,yes,competitive,weak
tie,tie,thursday,evening,august,low,sunny,away,large,dry,no,competitive,strong
win,loss,thursday,evening,may,low,cloudy,away,medium,wet,yes,competitive,average
tie,tie,thursday,evening,september,low,cloudy,home,medium,dry,yes,competitive,strong
tie,tie,sunday,afternoon,september,low,rainy,away,small,wet,no,competitive,strong
tie,tie,saturday,evening,november,no_wind,sunny,away,elite,wet,yes,friendly,strong
tie,tie,saturday,afternoon,january,no_wind,cloudy,home,medium,dry,yes,friendly,strong
tie,tie,thursday,evening,may,no_wind,cloudy,home,medium,dry,yes,friendly,strong
tie,win,wednesday,evening,january,high,sunny,away,medium,dry,no,competitive,weak
win,win,wednesday,evening,january,low,cloudy,home,medium,dry,no,competitive,weak
tie,tie,friday,evening,january,no_wind,sunny,home,medium,dry,yes,competitive,strong
tie,loss,friday,evening,june,no_wind,rainy,away,small,wet,yes,friendly,weak
win,win,tuesday,evening,september,low,cloudy,away,elite,dry,no,friendly,weak
loss,win,tuesday,evening,april,no_wind,rainy,home,medium,dry,yes,friendly,weak
win,win,sunday,afternoon,september,low,sunny,home,medium,dry,no,competitive,weak
win,tie,thursday,evening,june,low,cloudy,away,elite,dry,no,competitive,strong
tie,tie,monday,evening,december,low,rainy,home,medium,dry,yes,friendly,strong
tie,tie,thursday,evening,april,high,cloudy,home,medium,dry,no,friendly,strong
tie,tie,friday,evening,july,high,cloudy,away,small,dry,yes,competitive,strong
tie,win,thursday,evening,may,high,cloudy,away,large,dry,no,friendly,average
win,win,friday,evening,september,high,rainy,away,large,wet,no,competitive,weak
win,win,wednesday,evening,january,no_wind,cloudy,away,small,dry,no,competitive,weak
win,tie,tuesday,evening,april,high,cloudy,home,medium,dry,no,competitive,strong
win,win,thursday,evening,september,low,sunny,home,medium,dry,no,competitive,weak
win,win,monday,evening,september,no_wind,rainy,away,small,wet,no,friendly,weak
win,win,saturday,afternoon,february,no_wind,sunny,away,medium,dry,yes,competitive,weak
win,tie,thursday,evening,october,low,rainy,away,medium,wet,no,competitive,average
tie,loss,sunday,afternoon,july,high,cloudy,away,medium,dry,yes,competitive,average
loss,loss,monday,evening,march,high,sunny,away,small,dry,yes,competitive,average
tie,win,friday,evening,january,no_wind,rainy,away,small,wet,yes,competitive,strong
loss,tie,monday,evening,november,high,sunny,home,medium,dry,no,competitive,strong
tie,win,tuesday,evening,august,no_wind,cloudy,away,elite,dry,no,friendly,average
win,win,friday,evening,october,high,sunny,away,medium,dry,no,friendly,weak
tie,tie,tuesday,evening,may,low,sunny,home,medium,dry,no,competitive,strong
tie,tie,wednesday,evening,january,low,sunny,home,medium,dry,yes,friendly,average
win,loss,wednesday,evening,december,high,snowy,home,medium,dry,yes,friendly,average
win,loss,thursday,evening,september,low,sunny,away,small,dry,yes,friendly,weak
win,win,friday,evening,april,low,cloudy,home,medium,dry,no,friendly,weak
win,win,friday,evening,june,no_wind,sunny,home,medium,dry,no,competitive,weak
win,tie,friday,evening,april,low,rainy,home,medium,dry,no,competitive,strong
win,win,sunday,morning,january,no_wind,sunny,away,medium,dry,no,friendly,average
tie,win,tuesday,evening,january,high,sunny,home,medium,dry,no,friendly,strong
tie,win,friday,evening,september,low,sunny,away,elite,dry,yes,competitive,average
loss,tie,sunday,morning,march,high,sunny,away,large,dry,no,friendly,average
win,win,saturday,afternoon,may,no_wind,sunny,home,medium,dry,yes,competitive,weak
tie,tie,tuesday,evening,february,no_wind,sunny,home,medium,dry,no,friendly,strong
tie,win,friday,evening,september,high,cloudy,away,large,dry,yes,competitive,average
win,win,monday,evening,april,no_wind,sunny,away,small,dry,yes,competitive,average
tie,tie,saturday,afternoon,june,high,cloudy,home,medium,dry,no,friendly,average
tie,tie,friday,evening,august,low,sunny,away,small,dry,yes,competitive,weak
win,tie,friday,evening,november,no_wind,cloudy,away,medium,dry,no,friendly,average
win,loss,saturday,morning,september,low,cloudy,away,small,dry,yes,friendly,average
tie,win,saturday,afternoon,april,no_wind,cloudy,home,medium,dry,yes,competitive,average
win,loss,monday,evening,august,low,cloudy,away,medium,dry,yes,friendly,weak
tie,tie,tuesday,evening,february,low,cloudy,home,medium,dry,no,friendly,strong
tie,tie,tuesday,evening,august,low,cloudy,away,large,dry,no,competitive,strong
win,tie,saturday,evening,december,high,sunny,home,medium,dry,yes,competitive,weak
win,win,wednesday,evening,december,no_wind,cloudy,away,medium,dry,no,competitive,weak
tie,tie,tuesday,evening,september,high,sunny,away,medium,dry,yes,competitive,strong
tie,tie,sunday,afternoon,november,no_wind,sunny,away,elite,dry,yes,friendly,strong
tie,loss,thursday,evening,march,low,cloudy,home,medium,dry,yes,friendly,average
tie,tie,wednesday,evening,may,no_wind,cloudy,away,large,dry,yes,friendly,strong
tie,win,wednesday,evening,november,high,sunny,home,medium,dry,yes,friendly,average
win,win,saturday,morning,may,high,rainy,away,medium,wet,no,friendly,average
tie,win,monday,evening,february,high,cloudy,home,medium,dry,no,friendly,strong
tie,loss,tuesday,evening,march,no_wind,cloudy,away,elite,wet,yes,friendly,average
tie,tie,tuesday,evening,january,no_wind,snowy,away,elite,wet,yes,friendly,strong
tie,tie,tuesday,evening,january,no_wind,cloudy,away,elite,dry,no,competitive,average
tie,tie,tuesday,evening,march,low,sunny,home,medium,dry,no,friendly,strong
tie,tie,thursday,evening,january,no_wind,sunny,home,medium,dry,yes,friendly,strong
win,win,tuesday,evening,june,high,sunny,home,medium,dry,no,competitive,average
loss,tie,thursday,evening,january,no_wind,cloudy,away,small,dry,no,friendly,strong
win,win,friday,evening,august,low,rainy,home,medium,dry,no,friendly,average
win,win,thursday,evening,july,no_wind,rainy,away,elite,wet,no,competitive,weak
tie,tie,saturday,morning,january,no_wind,sunny,home,medium,dry,no,friendly,strong
win,loss,thursday,evening,december,high,sunny,home,medium,dry,yes,competitive,weak
loss,tie,wednesday,evening,february,low,sunny,away,elite,dry,no,friendly,strong
tie,loss,saturday,morning,february,high,cloudy,away,small,wet,yes,competitive,weak
loss,win,thursday,evening,october,high,cloudy,home,medium,dry,yes,friendly,average
tie,win,tuesday,evening,may,low,cloudy,away,small,dry,no,competitive,weak
tie,win,monday,evening,january,high,cloudy,home,medium,dry,yes,friendly,average
tie,tie,friday,evening,december,low,cloudy,home,medium,dry,yes,competitive,strong
loss,tie,thursday,evening,june,high,sunny,away,small,dry,yes,competitive,average
tie,win,sunday,afternoon,august,high,sunny,home,medium,dry,no,competitive,strong
win,win,thursday,evening,september,low,sunny,away,elite,dry,yes,competitive,weak
tie,tie,saturday,evening,june,high,sunny,away,small,dry,yes,competitive,strong
tie,win,thursday,evening,september,high,rainy,away,small,wet,no,competitive,strong
tie,tie,friday,evening,december,high,snowy,home,medium,dry,yes,competitive,strong
win,tie,thursday,evening,october,no_wind,cloudy,away,small,dry,no,competitive,weak
win,win,thursday,evening,june,high,cloudy,home,medium,dry,yes,friendly,weak
win,win,friday,evening,april,high,rainy,home,medium,dry,no,competitive,weak
win,win,tuesday,evening,july,no_wind,cloudy,away,elite,dry,yes,friendly,weak
win,win,wednesday,evening,january,low,sunny,away,medium,dry,yes,friendly,weak
tie,loss,thursday,evening,october,no_wind,sunny,home,medium,dry,no,friendly,strong
tie,win,friday,evening,december,no_wind,sunny,away,elite,dry,yes,competitive,weak
win,loss,tuesday,evening,september,no_wind,rainy,home,medium,dry,no,friendly,average
tie,win,friday,evening,january,high,sunny,home,medium,dry,no,competitive,weak
win,win,wednesday,evening,may,no_wind,sunny,away,medium,dry,yes,friendly,weak
win,win,tuesday,evening,april,low,sunny,away,medium,dry,no,competitive,weak
tie,win,friday,evening,august,no_wind,sunny,home,medium,dry,yes,friendly,average
win,tie,sunday,afternoon,august,low,sunny,home,medium,dry,no,competitive,strong
tie,tie,monday,evening,may,low,cloudy,away,large,dry,no,competitive,strong
win,win,friday,evening,september,low,sunny,away,elite,dry,yes,friendly,weak
tie,win,monday,evening,september,low,cloudy,away,medium,dry,no,competitive,strong
tie,tie,wednesday,evening,august,high,cloudy,home,medium,dry,no,competitive,strong
loss,loss,wednesday,evening,february,high,cloudy,away,medium,dry,no,competitive,average
win,win,tuesday,evening,april,low,cloudy,away,large,dry,no,friendly,weak
loss,tie,monday,evening,june,no_wind,sunny,home,medium,dry,yes,friendly,strong
tie,tie,wednesday,evening,march,high,cloudy,home,medium,dry,no,competitive,average
tie,tie,friday,evening,june,high,sunny,home,medium,dry,yes,competitive,strong
tie,win,monday,evening,april,high,cloudy,away,large,dry,yes,competitive,average
win,win,sunday,morning,january,low,snowy,away,small,wet,yes,friendly,weak
win,win,monday,evening,october,no_wind,rainy,away,medium,wet,yes,competitive,weak
win,win,friday,evening,june,high,sunny,away,large,dry,yes,friendly,weak
win,tie,saturday,afternoon,june,high,cloudy,away,large,dry,no,competitive,average
tie,win,saturday,afternoon,february,low,sunny,away,large,dry,no,competitive,average
tie,tie,friday,evening,october,low,cloudy,away,medium,dry,yes,friendly,average
tie,tie,thursday,evening,october,low,sunny,home,medium,dry,yes,competitive,strong
tie,loss,monday,evening,october,high,cloudy,away,medium,dry,yes,competitive,average
tie,tie,tuesday,evening,june,high,sunny,home,medium,dry,no,friendly,strong
tie,tie,wednesday,evening,march,low,cloudy,home,medium,dry,no,competitive,strong
win,win,wednesday,evening,october,high,cloudy,away,medium,wet,yes,competitive,weak
tie,loss,tuesday,evening,november,high,rainy,away,large,wet,yes,competitive,average
win,win,sunday,afternoon,may,high,sunny,away,elite,dry,no,friendly,average
win,loss,tuesday,evening,june,no_wind,rainy,away,large,wet,yes,friendly,average
tie,win,monday,evening,january,low,sunny,home,medium,dry,yes,competitive,average
win,loss,tuesday,evening,december,high,cloudy,home,medium,dry,no,friendly,average
win,win,sunday,afternoon,november,low,sunny,home,medium,dry,yes,friendly,weak
tie,tie,tuesday,evening,march,low,rainy,away,medium,wet,yes,friendly,average
win,win,wednesday,evening,september,high,rainy,home,medium,dry,no,friendly,weak
tie,tie,saturday,afternoon,october,high,sunny,home,medium,dry,no,friendly,strong
win,tie,monday,evening,june,low,cloudy,home,medium,dry,no,competitive,average
